N° de certificado;Nombre comercial;Empresa ;Titular o Extensión; 
"01-321";"Plusguard";"LABORATORIOS KONIG S A";"Propio";
"01-323";"DOXICILINA RUMINAL";"RUMINAL  S.A.";"Propio";
"01-324";"Civet Florfenicol Inyectable";"FACYT S R L";"Propio";
"01-326";"NC - IB - IBD";"LABORATORIOS INMUNER S A I Y C";"Propio";
"01-328";"CEFTIOFUR 5% ARSA";"ARSA S R L S. R. L.";"Propio";
"01-329";"OFLOXACINA HOLLIDAY";"HOLLIDAY SCOTT S A";"Propio";
"01-330";"CICLOSPORINA 1 % HOLLIDAY";"HOLLIDAY SCOTT S A";"Propio";
"01-331";"Epitelizante ocular Holliday";"HOLLIDAY SCOTT S A";"Propio";
"01-332";"FLURBIPROFENO HOLLIDAY";"HOLLIDAY SCOTT S A";"Propio";
"01-334";"Curitiba Rio de Janeiro";"ALLIGNANI HERMANOS S R L";"Propio";
"01-335";"Stresin gotas laika";"ALLIGNANI HERMANOS S R L";"Propio";
"01-337";"Gastrine";"LABORATORIOS RICHMOND DIVISION VETERINARIA SA";"Propio";
"01-338";"Ketonal 100";"LABORATORIOS RICHMOND DIVISION VETERINARIA SA";"Propio";
"01-339";"Xilacina 100";"LABORATORIOS RICHMOND DIVISION VETERINARIA SA";"Propio";
"01-341";"POULVAC MAREK CVI+HVT";"ZOETIS ARGENTINA S R L";"Propio";
"01-345";"CEFAPIRINA INTRAMAMARIA VS";"INSTITUTO ROSENBUSCH S A DE BIOLOGIA E Y A";"Propio";
"01-346";"Gentacalier";"LABORATORIOS CALIER DE ARGENTINA S.A.";"Propio";
"01-348";"Gastroprazol";"DELTA VET  SRL";"Propio";
"01-350";"Ovusyn";"ZOETIS ARGENTINA S R L";"Propio";
"01-351";"Acido Tioctico 2% ES";"EQUI SYSTEMS SRL";"Propio";
"0136/E";"Nandro Plus A.D.E.";"PHARMAVET SA";"Propio";
"0141/E";"VACUNA ANTICLOSTRIDIAL POLIVALENTE BOVINO-LANAR";"CENTRO DIAGNOSTICO VETERINARIO S. A.";"Propio";
"0146/E";"ESTANOZOLOL SUSPENSION ACUOSA";"ESTABLECIMIENTO CALASTREME SA";"Propio";
"0147/E";"Boldefarm";"FARMANIMAL SA";"Propio";
"0152/E";"PROFIT";"LABORATORIOS RICHMOND DIVISION VETERINARIA SA";"Propio";
"0153/E";"PROFIT M";"LABORATORIOS RICHMOND DIVISION VETERINARIA SA";"Propio";
"0159/E";"Implantes de Zeranol Over";"O VE R  ORGANIZACION VETERINARIA REGIONAL SRL";"Propio";
"0169/E";"Fronteira";"VABRIELA SRL";"Propio";
"0170/E";"Engordan Plus ADE";"AGROINSUMOS S. A.";"Propio";
"0177E";"Drolene";"LAB VETER PITNEY PHARMA SRL";"Propio";
"0178/E";"Anabolico Produvet";"LABORATORIO CIMOL SOCIEDAD RESPONSABILIDAD LIMITADA";"Propio";
"0179/E";"BITESTO";"LABORATORIO CIMOL SOCIEDAD RESPONSABILIDAD LIMITADA";"Propio";
"0190/E";"DEIOD 2500";"LABORATORIOS BAHER S. A.";"Propio";
"0200/E";"Doxi 200";"DELTA VET GROUP SRL";"Propio";
"02-002";"FAXER";"TECNOFARM S. R. L.";"Propio";
"02-004";"Gentamicina 40";"ALLIGNANI HERMANOS S R L";"Propio";
"02-005";"MELTRA PLUS PALATABLE";"BROUWER SA";"Propio";
"02-007";"AVECOL 1-3-NT";"CENTRO DIAGNOSTICO VETERINARIO S. A.";"Propio";
"02-008";"CORIZA - ABC";"CENTRO DIAGNOSTICO VETERINARIO S. A.";"Propio";
"02-009";"COL & COR";"CENTRO DIAGNOSTICO VETERINARIO S. A.";"Propio";
"0201/E";"VACUNA ANTILEPTOSPIROSIS OLEOSA";"CENTRO DIAGNOSTICO VETERINARIO S. A.";"Propio";
"02-016";"Trisulfavet Multivitaminado";"PHARMAVET SA";"Propio";
"02-018";"Ambitus solucion";"NIESER ARGENTINA S A";"Propio";
"02-019";"MICROFLUD CEFT";"VETANCO S. A.";"Propio";
"02-023";"17 BETA ESTRADIOL RIO DE JANEIRO";"ALLIGNANI HERMANOS S R L";"Propio";
"02-024";"DERMOMICINA LAIKA";"ALLIGNANI HERMANOS S R L";"Propio";
"02-026";"Cefalexina Kualcos Comprimidos";"KUALCOS SRL";"Propio";
"02-027";"17 BETA ESTRADIOL BURNET";"LABORATORIOS BURNET S A C I F I Y A";"Propio";
"02-028";"Albac 15% granulado";"AMALGAMAR SRL";"Propio";
"02-029";"ESTROBEN";"LABORATORIOS ARGOS S R L";"Propio";
"0203/E";"BOVICINE I";"LABORATORIOS RICHMOND DIVISION VETERINARIA SA";"Propio";
"02-030";"MI NER CAL";"LABORATORIOS ARGOS S R L";"Propio";
"02-031";"Ceobiotic";"TECNOFARM S. R. L.";"Propio";
"02-032";"Lactacid";"LABORATORIO WEIZUR ARGENTINA SA";"Propio";
"02-037";"Facyt Salinomicina 500";"FACYT S R L";"Propio";
"02-039";"Shampoo baño de espuma Shampusol";"TROCKI JORGE MARCELO";"Propio";
"02-040";"Crema de enjuage Cremsol";"TROCKI JORGE MARCELO";"Propio";
"02-041";"Shampoo Tonalizador Shampusol Silver";"TROCKI JORGE MARCELO";"Propio";
"02-042";"Shampoo Tonalizador Shampusol Bronze";"TROCKI JORGE MARCELO";"Propio";
"02-043";"Shampoo Tonalizador Shampusol Black";"TROCKI JORGE MARCELO";"Propio";
"02-044";"Syncrocel";"LABORATORIOS ARGOS S R L";"Propio";
"02-046";"ACARICIDA MOJABLE";"EZEGAB S R L";"Propio";
"02-047";"GALLIMUNE 403";"BOEHRINGER INGELHEIM ANIMAL HEALTH ARGENTINA S. A.";"Propio";
"02-049";"CREMA DE ORDEÑO NUEVA FORMULA";"PROAGRO SA";"Propio";
"02-052";"Master";"LABORATORIOS BURNET S A C I F I Y A";"Propio";
"02-053";"Master-S";"LABORATORIOS BURNET S A C I F I Y A";"Propio";
"02-054";"NICARMIX 25";"PHIBRO ANIMAL HEALTH DE ARGENTINA S.R.L";"Propio";
"02-055";"VETRIBAC D SOLUCIÓN";"VETANCO S. A.";"Propio";
"02-058";"CEFALEXINA KUALCOS SUSPENSION";"KUALCOS SRL";"Propio";
"02-060";"Tratomicina Comprimidos";"LABORATORIOS KONIG S A";"Propio";
"02-061";"Elimsol";"TROCKI JORGE MARCELO";"Propio";
"02-062";"POLICLOSTRIGEN";"BIOGENESIS BAGO S.A.";"Propio";
"02-065";"Clenbuterol Jarabe E.S.";"EQUI SYSTEMS SRL";"Propio";
"02-069";"Propovet";"LABORATORIOS RICHMOND DIVISION VETERINARIA SA";"Propio";
"02-070";"B Complex Richmond";"LABORATORIOS RICHMOND DIVISION VETERINARIA SA";"Propio";
"02-073";"FATROXIMIN SPRAY TOPICO";"VON FRANKEN S A I C";"Propio";
"02-074";"NEUROMAX 1,5%";"CHINFIELD SA";"Propio";
"02-075";"GLUTASEPT";"NIESER ARGENTINA S A";"Propio";
"02-076";"QUANTUM DA2PPVL + CV";"INTERVET ARGENTINA SA";"Propio";
"02-077";"FRONTLINE PLUS PARA GATOS Y GATITOS";"BOEHRINGER INGELHEIM ANIMAL HEALTH ARGENTINA S. A.";"Propio";
"02-078";"FRONTLINE PLUS PARA PERROS Y CACHORROS";"BOEHRINGER INGELHEIM ANIMAL HEALTH ARGENTINA S. A.";"Propio";
"02-079";"ONE SHOT ULTRA-8";"ZOETIS ARGENTINA S R L";"Propio";
"02-081";"VITAMAS";"KW SRL";"Propio";
"02-082";"Oxipharm Vitaminada";"PHARMAVET SA";"Propio";
"02-086";"INTERTOCINE - S";"INTERVET ARGENTINA SA";"Propio";
"02-089";"POVIZUR 10 ";"LABORATORIO WEIZUR ARGENTINA SA";"Propio";
"02-092";"Humectante Ruminal";"RUMINAL  S.A.";"Propio";
"02-095";"METROVET COMPRIMIDOS";"BIOAMERVETLAB";"Propio";
"02-096";"Metrovet Inyectable";"BIOAMERVETLAB";"Propio";
"02-102";"Axilur PI Inyectable";"INTERVET ARGENTINA SA";"Extensión";
"02-102";"Cuotar ACA";"ASOCIACION DE COOPERATIVAS ARGENTINAS - COOP. LTDA.";"Extensión";
"02-102";"Ricobendazol 15% Mivet";"MIVET SA";"Propio";
"02-103";"Ivermectina 1%  Equinos Mivet";"MIVET SA";"Propio";
"02-104";"Progeron 17";"LABORATORIOS BURNET S A C I F I Y A";"Propio";
"02-105";"PROGERON";"LABORATORIOS BURNET S A C I F I Y A";"Propio";
"02-106";"Ivermectina 1,87% Pasta Oral";"PRO SER SA";"Propio";
"02-107";"BAXEN OVINOS";"TECNOFARM S. R. L.";"Propio";
"02-107";"ZODALBEN 3,8%";"LABORATORIOS CALIER DE ARGENTINA S.A.";"Extensión";
"02-109";"Linco";"BIOAMERVETLAB";"Propio";
"02-115";"RUMENSIN 200";"INNOSUR";"Propio";
"02-117";"Equiwax";"EQUI SYSTEMS SRL";"Propio";
"02-118";"Shampoo Happy Dog Manzana";"BINKA SA";"Propio";
"02-119";"Shampoo Happy Dog Frutilla";"BINKA SA";"Propio";
"0212/E";"CEFAXIM RTU";"LABORATORIOS RICHMOND DIVISION VETERINARIA SA";"Propio";
"02-122";"CDVAC CAMPY 40 ";"CENTRO DIAGNOSTICO VETERINARIO S. A.";"Propio";
"02-123";"RANITIDINA WK";"EQUI SYSTEMS SRL";"Propio";
"02-124";"Dolosin";"RUMINAL  S.A.";"Propio";
"02-125";"Prednisolona 20 Ruminal";"RUMINAL  S.A.";"Propio";
"02-128";"FEEDVAC MORAXELLA";"TECNOFARM S. R. L.";"Propio";
"02-135";"Solucion Iodo Cobalto - Rio de Janeiro";"ALLIGNANI HERMANOS S R L";"Propio";
"0214/E";"APTOMECTIN INYECTABLE";"AFFORD SA";"Propio";
"02-142";"PARADIARREAS KW COMPRIMIDOS";"KW SRL";"Propio";
"02-145";"TRILPORT TRILBRAKE";"DIVERSEY DE ARGENTINA S.A.";"Propio";
"02-147";"Megestrol Caninos Pitney";"LAB VETER PITNEY PHARMA SRL";"Propio";
"02-148";"Megestrol felinos Pitney";"LAB VETER PITNEY PHARMA SRL";"Propio";
"02-149";"Itraconazol Miret";"MARTIN GONZALO DAVID";"Propio";
"0215/E";"ANTIGENO DE VIRUS DE LA FIEBRE AFTOSA INACTIVADO A GRANEL";"CENTRO DIAGNOSTICO VETERINARIO S. A.";"Propio";
"02-150";"FUROSEMIDA J'ANVIER";"LABORATORIOS J' ANVIER SRL";"Propio";
"02-151";"Selenmax";"PHARMAVET SA";"Propio";
"02-155";"PREDNI";"LABORATORIOS RODENTHIA S.A";"Propio";
"02-157";"Cefalexina Comprimidos Pharmavet";"PHARMAVET SA";"Propio";
"02-158";"ESTREPTOPENICILINA MIVET";"MIVET SA";"Propio";
"02-159";"GERIOOX";"LABYES S A";"Propio";
"0216/E";"VACUNA ANTIVIRAL AFTOSA";"CENTRO DIAGNOSTICO VETERINARIO S. A.";"Propio";
"02-161";"FS Dehorner";"LABCECIL S.R.L.";"Propio";
"02-162";"Otodermica";"KW SRL";"Propio";
"02-166";"DELTAVET ZEROPAR";"DELTA VET  SRL";"Propio";
"02-167";"Nucleo Vitaminico Mineral Postura";"BROUWER SA";"Propio";
"02-171";"FIT UP";"AFFORD SA";"Propio";
"02-171";"LAPIPETA PLUS OSSPRET";"LABORATORIOS OSSPRET S.A.";"Extensión";
"02-172";"FIT UP SPRAY";"AFFORD SA";"Propio";
"02-173";"BIOCAN M. INJ. AD US. VET";"ARSA S R L S. R. L.";"Propio";
"02-174";"Enrofloxacina Comprimidos Pharmavet";"PHARMAVET SA";"Propio";
"02-175";"Antiparasitario Comprimidos Pharmavet";"PHARMAVET SA";"Propio";
"02-176";"MIXAN GARRAPATICIDA";"AGRO 2000 SOCIEDAD ANONIMA";"Propio";
"02-177";"Aprax comprimidos";"LABORATORIOS RICHMOND DIVISION VETERINARIA SA";"Propio";
"02-178";"Aprax suspension";"LABORATORIOS RICHMOND DIVISION VETERINARIA SA";"Propio";
"0218/E";"VACUNA INACTIVADA OLEOSA CONTRA PISCIRICKETTSIA SALMONIS";"CENTRO DIAGNOSTICO VETERINARIO S. A.";"Propio";
"02-182";"BLOCKADE";"DELAVAL S.A";"Propio";
"02-183";"Furedem";"LABORATORIOS BURNET S A C I F I Y A";"Propio";
"02-185";"NOBIVAC RL";"INTERVET ARGENTINA SA";"Propio";
"02-187";"Diluent oculonasal";"INTERVET ARGENTINA SA";"Propio";
"0219/E";"Zerafar";"LAB VETER PITNEY PHARMA SRL";"Propio";
"02-190";"Piperazina Pharmavet";"PHARMAVET SA";"Propio";
"02-191";"BATOXIL L.A.";"LABORATORIOS RICHMOND DIVISION VETERINARIA SA";"Propio";
"02-192";"Poladin Geriatrico Comprimidos Palatables";"KUALCOS SRL";"Propio";
"02-193";"CANIGEN MHA2 PUPPY";"CENTROVET ARGENTINA S.A.";"Propio";
"02-196";"Suvaxyn Respifend MH/HPS";"ZOETIS ARGENTINA S R L";"Propio";
"02-197";"Febenpharm";"PHARMAVET SA";"Propio";
"02-207";"FIPROGEN SPRAY";"CESINI SILVIO GERMAN";"Extensión";
"02-207";"PETS-PROTECTOR SPRAY";"CEVA SALUD ANIMAL S.R.L.";"Propio";
"02-209";"PRAZIQUANTEL RICHMOND";"LABORATORIOS RICHMOND DIVISION VETERINARIA SA";"Propio";
"02-211";"Polibron Intramamario";"INTERVET ARGENTINA SA";"Propio";
"02-218";"ANFOTIL";"TECNOFARM S. R. L.";"Propio";
"02-224";"SOSTEN CG INYECTABLE";"BIOGENESIS BAGO S.A.";"Propio";
"02-225";"DOXILINA";"BIOGENESIS BAGO S.A.";"Propio";
"02-228";"FLEANET AG";"LABORATORIOS RICHMOND DIVISION VETERINARIA SA";"Propio";
"02-230";"CALCITEC";"TECNOFARM S. R. L.";"Propio";
"02-232";"NOBIVAC DILUENT";"INTERVET ARGENTINA SA";"Propio";
"02-233";"PENTA VETUE";"LABORATORIO VETUE SRL";"Propio";
"02-234";"Atropina Pharmavet";"PHARMAVET SA";"Propio";
"02-235";"Oxitocina Pharmavet";"PHARMAVET SA";"Propio";
"02-241";"BAKER";"TECNOFARM S. R. L.";"Propio";
"02-246";"Shampoo de belleza Laika";"ALLIGNANI HERMANOS S R L";"Propio";
"02-248";"Lactocilina Rio de Janeiro";"ALLIGNANI HERMANOS S R L";"Propio";
"02-249";"Arsamast S";"ARSA S R L S. R. L.";"Propio";
"0225/E";"VACUNA INACTIVADA OLEOSA CONTRA VIRUS DE IPN";"CENTRO DIAGNOSTICO VETERINARIO S. A.";"Propio";
"02-252";"DOZILAM";"HOLLIDAY SCOTT S A";"Propio";
"02-253";"KETAMID";"HOLLIDAY SCOTT S A";"Propio";
"02-254";"Dispositivo intravaginal bovino Syntex (DIB)";"ZOETIS ARGENTINA S R L";"Propio";
"0226/E";"VACUNA INACTIVADA OLEOSA COMBINADA";"CENTRO DIAGNOSTICO VETERINARIO S. A.";"Propio";
"02-260";"INDUFLOC";"INDUSTRIAS VETERINARIAS S R L";"Propio";
"02-263";"Gentamicina 6% Inyectable";"FACYT S R L";"Propio";
"02-263";"GENTALON 6";"LEON PHARMA S. R. L.";"Extensión";
"02-266";"Claxilina";"PROAGRO SA";"Propio";
"02-268";"Cefalexina Inyectable Ruminal";"RUMINAL  S.A.";"Propio";
"02-270";"ENVIRACOR";"ZOETIS ARGENTINA S R L";"Propio";
"02-271";"FIPRONIL LABYES";"LABYES S A";"Propio";
"02-271";"BLOCK FIPRO";"JOHN MARTIN SRL";"Extensión";
"02-271";"PIPETA DERMOKILL";"DERMOVET S.R.L.";"Extensión";
"02-271";"BIT";"LABORATORIOS RODENTHIA S.A";"Extensión";
"02-272";"STICKPOUR";"PROMOPET SRL";"Propio";
"02-274";"Enromed";"LABORATORIOS RODENTHIA S.A";"Propio";
"02-277";"CIVET CEFTIOFUR PI 5%";"FACYT S R L";"Propio";
"02-278";"Iverkey *";"KW SRL";"Extensión";
"02-278";"IVER VETUE";"LABORATORIO VETUE SRL";"Propio";
"02-279";"Giardiavax";"ZOETIS ARGENTINA S R L";"Propio";
"0228/E";"Iverkey /E";"KW SRL";"Propio";
"02-280";"BIOPOLIGEN AIR";"BIOGENESIS BAGO S.A.";"Propio";
"02-281";"CULTIVAC MHPI";"INSTITUTO ROSENBUSCH S A DE BIOLOGIA E Y A";"Propio";
"02-282";"CULTIVAC PARVO";"INSTITUTO ROSENBUSCH S A DE BIOLOGIA E Y A";"Propio";
"02-284";"PROPANTELINA TRITON";"LABORATORIO TRITON VET SRL";"Propio";
"02-285";"Germenko";"NIESER ARGENTINA S A";"Propio";
"02-286";"SELCOZINC";"PHIBRO ANIMAL HEALTH DE ARGENTINA S.R.L";"Propio";
"02-287";"PHOSFORMONE PLUS";"AGROINSUMOS S. A.";"Propio";
"02-289";"Butormin";"HOLLIDAY SCOTT S A";"Propio";
"0229/E";"Overmax L.A. Premium";"O VE R  ORGANIZACION VETERINARIA REGIONAL SRL";"Propio";
"02-293";"Caravanas Insecticidas Young";"RUMINAL  S.A.";"Propio";
"02-295";"Ceflorsol 10";"CEVASA S. A.";"Propio";
"02-296";"ACEPROMACINA PHARMAVET ";"PHARMAVET SA";"Propio";
"02-298";"CEVASAMETRINA 5P";"CEVASA S. A.";"Propio";
"02-301";"CONTAL";"LABORATORIOS J' ANVIER SRL";"Propio";
"02-303";"FLUCOR";"LABORATORIOS RICHMOND DIVISION VETERINARIA SA";"Propio";
"02-304";"PENCILLINE 6 M";"LABORATORIOS RICHMOND DIVISION VETERINARIA SA";"Propio";
"02-305";"VETRIMICIN L.A.";"LABORATORIOS AVIAR S A";"Propio";
"02-307";"Antiparasitario Gotas Pharmavet";"PHARMAVET SA";"Propio";
"0231/E";"Bagomectina L.A. Star";"BIOGENESIS BAGO S.A.";"Propio";
"02-310";"Verelimp";"VETSER SA";"Propio";
"02-311";"Metoclopramida Pharmavet";"PHARMAVET SA";"Propio";
"02-312";"FLOXA";"TECNOFARM S. R. L.";"Propio";
"02-313";"IODURO DE SODIO TECNOFARM";"TECNOFARM S. R. L.";"Propio";
"02-314";"ACECOR ANTIHISTAMINICO ";"TECNOFARM S. R. L.";"Propio";
"02-314";"CALIERCORTIN ATH";"LABORATORIOS CALIER DE ARGENTINA S.A.";"Extensión";
"0235/E";"Tiloclor";"KW SRL";"Propio";
"0237/E";"Ceftiofur 5% Ale-Bet suspension lista para usar";"LABORATORIOS ESPECIALIDADES VETERINARIAS ALE BET S R L";"Propio";
"0242/E";"Bago-Pell";"BIOGENESIS BAGO S.A.";"Propio";
"0244/E";"BOVICINE TP";"LABORATORIOS RICHMOND DIVISION VETERINARIA SA";"Propio";
"0248/E";"Bovicine Max";"LABORATORIOS RICHMOND DIVISION VETERINARIA SA";"Propio";
"0251/E";"FUROFAT";"BIOGENESIS BAGO S.A.";"Propio";
"0253/E";"BOVICINE L";"LABORATORIOS RICHMOND DIVISION VETERINARIA SA";"Propio";
"0256/E";"Closiv";"CUFFIA ANTONIO CAMILO";"Propio";
"0258/E";"Zeranol Over";"O VE R  ORGANIZACION VETERINARIA REGIONAL SRL";"Propio";
"0266/E";"Doraprox";"PROAGRO SA";"Propio";
"0267/E";"BOLDEKYL SOLUCION INYECTABLE AL 5%";"O VE R  ORGANIZACION VETERINARIA REGIONAL SRL";"Propio";
"0276/E";"VERMECTIN POUR ON";"O VE R  ORGANIZACION VETERINARIA REGIONAL SRL";"Propio";
"0282/E";"Estigor T";"LABORATORIOS BURNET S A C I F I Y A";"Propio";
"0286/E";"Ivernandrol";"AGROPHARMA SALUD ANIMAL SA";"Propio";
"0293/E";"VACUNA ANTIBOTULISMO";"CENTRO DIAGNOSTICO VETERINARIO S. A.";"Propio";
"0294/E";"Iversan *";"LABORATORIOS ESPECIALIDADES VETERINARIAS ALE BET S R L";"Propio";
"0295/E";"Fipronpet-G";"ATON SRL";"Propio";
"0296/E";"Fipronpet /E";"ATON SRL";"Propio";
"03-001";"Complejo Vitaminico ADE Weizur";"LABORATORIO WEIZUR ARGENTINA SA";"Propio";
"03-003";"Buta Induvet";"INDUSTRIAS VETERINARIAS S R L";"Propio";
"03-005";"MICROFLUD F SOLUCION";"VETANCO S. A.";"Propio";
"03-006";"CREMA DE ENJUAGUE HAPPY DOG ALGAS MARINAS";"BINKA SA";"Propio";
"03-007";"CALTRION";"AGROINSUMOS S. A.";"Propio";
"03-008";"DEXADOS";"TECNOVAX BIOFARMA S. A. S.";"Propio";
"0301/E";"COMPLEJO B KÖNIG";"LABORATORIOS KONIG S A";"Propio";
"03-011";"TRIANCIGEN 6";"TECNOVAX BIOFARMA S. A. S.";"Propio";
"03-012";"Medroxigen";"TECNOVAX BIOFARMA S. A. S.";"Propio";
"03-013";"MEPRAGEN 5";"TECNOVAX BIOFARMA S. A. S.";"Propio";
"03-015";"Pharmaprim Antidiarreico Oral";"PHARMAVET SA";"Propio";
"03-016";"ROMAGEL";"BOEHRINGER INGELHEIM ANIMAL HEALTH ARGENTINA S. A.";"Propio";
"03-017";"ENDOMETRAL PLUS (FM 6)";"LABORATORIOS BURNET S A C I F I Y A";"Propio";
"03-018";"XILAZINA OVER";"O VE R  ORGANIZACION VETERINARIA REGIONAL SRL";"Propio";
"03-019";"Caravanas Insecticidas Synect - DC";"O VE R  ORGANIZACION VETERINARIA REGIONAL SRL";"Propio";
"0302/E";"TRATTO";"LABORATORIOS KONIG S A";"Propio";
"03-021";"Ceftio-zur";"LABORATORIO WEIZUR ARGENTINA SA";"Propio";
"03-022";"SPEED EHRLI";"MEDICA TEC S R L";"Propio";
"03-023";"SPEED BIOGRAM";"MEDICA TEC S R L";"Propio";
"03-025";"Colotrin Comprimidos";"JOHN MARTIN SRL";"Propio";
"03-026";"SELLADOR DE PEZONES LACT-DUO";"INDALAC ARGENTINA  S.A";"Propio";
"03-028";"HEPATICO ORAL SPORT HORSE";"SPORT.HORSE S.A";"Propio";
"03-029";"Fenbendazol Miret Suspension";"MARTIN GONZALO DAVID";"Propio";
"0303/E";"SEL-E-VIT";"LABORATORIOS KONIG S A";"Propio";
"03-030";"DEXAMETASONA 4 MG DEX-A-VET";"VE TEC S A";"Propio";
"03-031";"Colotrin Polvo";"JOHN MARTIN SRL";"Propio";
"03-036";"Pharmapulg Plus";"PHARMA AGRO S A";"Propio";
"03-037";"BIO AFTOGEN";"BIOGENESIS BAGO S.A.";"Propio";
"03-038";"CELOGEN";"CESINI SILVIO GERMAN";"Propio";
"0304/E";"Bagomectina Star L.A. AD3E Vitaminada";"BIOGENESIS BAGO S.A.";"Propio";
"03-040";"Ceftiofur LPU Rosenbusch";"INSTITUTO ROSENBUSCH S A DE BIOLOGIA E Y A";"Propio";
"03-041";"Floxamai";"LUMAI S R L";"Propio";
"03-045";"Shampoo Antiparasitario Pharmavet";"PHARMA AGRO S A";"Propio";
"03-047";"FENILBUTAZONA VE TEC 20% INYECTABLE";"VE TEC S A";"Propio";
"03-050";"Antiparasitario externo Pharmavet";"PHARMA AGRO S A";"Propio";
"03-054";"XILAZINA 10% VETEC";"VE TEC S A";"Propio";
"03-055";"METOCARBAMOL INYECTABLE VE TEC";"VE TEC S A";"Propio";
"03-056";"CREATINA CHINFIELD";"CHINFIELD SA";"Propio";
"03-061";"LEPTICAN";"INSTITUTO ROSENBUSCH S A DE BIOLOGIA E Y A";"Propio";
"03-062";"Vitaminico Mineral Over";"O VE R  ORGANIZACION VETERINARIA REGIONAL SRL";"Propio";
"03-066";"Apirex NF";"BEDSON S. A.";"Propio";
"03-067";"AMOXIVET";"CEVA SALUD ANIMAL S.R.L.";"Propio";
"03-073";"Cartilago Forte";"LABORATORIOS J' ANVIER SRL";"Propio";
"03-075";"COLOTRIN PALATABLES";"JOHN MARTIN SRL";"Propio";
"03-082";"GONALER";"VON FRANKEN S A I C";"Propio";
"03-083";"Aceleration - D";"VABRIELA SRL";"Propio";
"03-085";"DIFEBUZOL COMPRIMIDOS";"ESTABLECIMIENTO CALASTREME SA";"Propio";
"03-086";"DEXTROGENOL";"VON FRANKEN S A I C";"Propio";
"03-087";"Sonasul Gel";"ESTABLECIMIENTO CALASTREME SA";"Propio";
"03-088";"SULPLATA HAMPTON";"ESTABLECIMIENTO CALASTREME SA";"Propio";
"0309/E";"ENGORMAX";"FARVIG SRL";"Propio";
"03-090";"Estreptogen LPU";"TECNOVAX BIOFARMA S. A. S.";"Propio";
"03-091";"CRESTAR IVG INTRAVAGINAL MONODOSIS 0.558";"INTERVET ARGENTINA SA";"Propio";
"03-095";"PANACUR COMPRIMIDOS";"INTERVET ARGENTINA SA";"Propio";
"03-096";"SINCRONIZADOR DE CELO PLUS DAIRYFARMA *";"DAIRYFARMA SRL";"Propio";
"03-098";"FLOXA BENCETIMIDA";"TECNOFARM S. R. L.";"Propio";
"03-098";"ROXABEN CALIER";"LABORATORIOS CALIER DE ARGENTINA S.A.";"Extensión";
"03-099";"Dermil Inyectable";"AFFORD SA";"Propio";
"03-101";"POWER F ";"BROUWER SA";"Propio";
"03-102";"Power Plus NF Spot-On";"BROUWER SA";"Propio";
"03-103";"POWER F SPRAY";"BROUWER SA";"Propio";
"03-106";"CESNEFIN";"LABORATORIOS RODENTHIA S.A";"Propio";
"03-107";"CULTIVAC CORONA";"INSTITUTO ROSENBUSCH S A DE BIOLOGIA E Y A";"Propio";
"03-108";"CULTIVAC SEXTUPLE";"INSTITUTO ROSENBUSCH S A DE BIOLOGIA E Y A";"Propio";
"03-111";"Calciogen Plus";"CESINI SILVIO GERMAN";"Extensión";
"03-111";"V.C.C.";"CEVA SALUD ANIMAL S.R.L.";"Propio";
"03-113";"BACTE POLIGEN BASE  QUERATO 3 ML.";"BIOGENESIS BAGO S.A.";"Propio";
"03-114";"PARVO SHIELD L5E";"INNOSUR";"Propio";
"03-115";"CEVASAMIDA";"CEVASA S. A.";"Propio";
"03-116";"Ketoxilen";"VETANCO S. A.";"Propio";
"03-120";"Artrovet";"CEVA SALUD ANIMAL S.R.L.";"Propio";
"03-127";"Furodexa";"AGREED LABORATORIOS S A";"Propio";
"03-128";"AUDICUR";"AGREED LABORATORIOS S A";"Propio";
"03-133";"COCCI PLAT";"PLATALAB S.A.";"Propio";
"03-135";"Acepromacina Gotas Pharmavet";"PHARMAVET SA";"Propio";
"03-136";"BOVITRIST";"PHARMAVET SA";"Propio";
"03-138";"Iver-Horse";"VE TEC S A";"Propio";
"0314/E";"Celo Check Red";"LABORATORIO WEIZUR ARGENTINA SA";"Propio";
"03-142";"SEBOFINE";"RUMINAL  S.A.";"Propio";
"03-147";"Cloxacum Max";"LABORATORIOS CALIER DE ARGENTINA S.A.";"Extensión";
"03-147";"Mastigen S";"CESINI SILVIO GERMAN";"Extensión";
"03-147";"CLOXASEC";"CEVA SALUD ANIMAL S.R.L.";"Propio";
"03-148";"ENROFLOXACINA KW";"KW SRL";"Propio";
"03-149";"SULFAGEN 40";"TECNOVAX BIOFARMA S. A. S.";"Propio";
"03-150";"OVERFLOXACIN ORAL";"O VE R  ORGANIZACION VETERINARIA REGIONAL SRL";"Propio";
"03-153";"LIDOCAINA PAUL 2%";"PROMOPET SRL";"Propio";
"03-155";"Queraten con Neomicina";"DAIRYFARMA SRL";"Propio";
"03-156";"DEXASHOCK 20";"JOHN MARTIN SRL";"Propio";
"03-158";"ENROFLOXACINA INYECTABLE RUMINAL";"RUMINAL  S.A.";"Propio";
"03-159";"Oxitetraciclina L.A. Arsa";"ARSA S R L S. R. L.";"Propio";
"03-160";"Arsamast A";"ARSA S R L S. R. L.";"Propio";
"03-161";"Penidual-Estrepto LPU";"PROAGRO SA";"Propio";
"03-163";"Fenbuta-Dexa Pasta Oral";"VE TEC S A";"Propio";
