N° de certificado;Nombre comercial;Empresa ;Titular o Extensión; 
"20-106";"ROCHY CURABICHERAS CREMA   ";"CEVA SALUD ANIMAL S.R.L.";"Propio";
"20-107";"ROCHY CURABICHERAS AEROSOL";"CEVA SALUD ANIMAL S.R.L.";"Propio";
"20-108";"KIT DIAGNOSTICO URANOTEST EHRLICHIA - ANAPLASMA";"DERMOVET S.R.L.";"Propio";
"20-109";"BOVITRIST PLUS";"PHARMAVET SA";"Propio";
"20-109";"IMIFORT PLUS B12";"LABORATORIO GANAFORT ARGENTINA S.A.";"Extensión";
"20-110";"VETLIS BRUCELLA IELISA CANINOS (SUERO)";"CHEMTEST ARGENTINA S.A.";"Propio";
"20-111";"MASTICREM";"O VE R  ORGANIZACION VETERINARIA REGIONAL SRL";"Propio";
"20-112";"ESPECIAL P ATON";"ATON SRL";"Propio";
"20-113";"FELIWAY CLASSIC";"CEVA SALUD ANIMAL S.R.L.";"Propio";
"20-114";"MASTER FLUID";"AGROINSUMOS S. A.";"Propio";
"20-115";"PRIMUN SALMONELLA E";"LABORATORIOS CALIER DE ARGENTINA S.A.";"Propio";
"20-116";"CONDROVET FORCE HA";"VETANCO S. A.";"Propio";
"20-117";"CONTROL DOBLE A  ";"CLADAN SA";"Propio";
"20-118";"U-NEEM";"LABORATORIO WEIZUR ARGENTINA SA";"Propio";
"20-119";"SHAMPOO BUBLES SENSITIVE CACHORROS";"RUMINAL  S.A.";"Propio";
"20-120";"RECOVERY ORAL";"AGROINSUMOS S. A.";"Propio";
"20-121";"DERMOSEDAN MRSA NANO AG";"CASTELLANO GUSTAVO HECTOR";"Propio";
"20-122";"ROCHY CURABICHERA PASTA";"CEVA SALUD ANIMAL S.R.L.";"Propio";
"20-123";"ITRACONAZOL SUSPENSIÓN ORAL ZOOVET";"CEVA SALUD ANIMAL S.R.L.";"Propio";
"20-124";"IODOHORMONE ORAL";"AGROINSUMOS S. A.";"Propio";
"20-125";"ONCOVET C";"CHEMOVET S.A.";"Propio";
"20-126";"DERMOSEDAN CLORHEXIDINA DIGLUCONATO 4%";"CASTELLANO GUSTAVO HECTOR";"Propio";
"20-127";"SHAMPOO BUBLES CERAMIDA REVITALIZANTE. BY ALAIN COGNARD";"RUMINAL  S.A.";"Propio";
"20-128";"HEXICLEAN";"LABORATORIO WEIZUR ARGENTINA SA";"Propio";
"20-129";"DERMOSEDAN ODORLESS SOLUCIÓN AMBIENTAL";"CASTELLANO GUSTAVO HECTOR";"Propio";
"20-130";"NEOVITA";"HOLLIDAY SCOTT S A";"Propio";
"20-131";"NAC";"CASTELLANO GUSTAVO HECTOR";"Propio";
"20-132";"DERMOSEDAN CREMA ENJUAGUE RESTAURACIÓN SALUDABLE";"CASTELLANO GUSTAVO HECTOR";"Propio";
"20-133";"DERMOSEDAN ODORLESS CHAMPÚ";"CASTELLANO GUSTAVO HECTOR";"Propio";
"20-134";"FARMADOX 50 PREMIX";"CEVASA S. A.";"Propio";
"20-135";"CICLOSPORINA 2% HOLLIDAY";"HOLLIDAY SCOTT S A";"Propio";
"20-136";"ONCOVET I";"CHEMOVET S.A.";"Propio";
"20-137";"ENROFARM SOLUCIÓN";"CEVASA S. A.";"Propio";
"20-138";"ALGICAM PETS INYECTABLE";"CEVA SALUD ANIMAL S.R.L.";"Propio";
"20-140";"ADAPTIL TRANSPORT";"CEVA SALUD ANIMAL S.R.L.";"Propio";
"20-141";"RUMISAN ";"RUMINAL  S.A.";"Propio";
"20-143";"EDUCADOR PITNEY";"LAB VETER PITNEY PHARMA SRL";"Propio";
"20-144";"EPRECIS";"CEVA SALUD ANIMAL S.R.L.";"Propio";
"20-145";"CONDROACTIVE TRITON";"LABORATORIO TRITON VET SRL";"Propio";
"20-147";"TRILAN";"AGROINSUMOS S. A.";"Propio";
"20-148";"SHAMPOO EN PASTA PRO-SER";"PRO SER SA";"Propio";
"20-149";"PET´S CLASS - SHAMPOO HERBAL CON ALOE VERA";"COSMIVET SRL";"Propio";
"20-150";"ALGICAM PETS COMPRIMIDOS";"CEVA SALUD ANIMAL S.R.L.";"Propio";
"20-151";"VICTORY COMPLEJO";"GEA FARM TECHNOLOGIES ARGENTINA S R L";"Propio";
"20-152";"ADAPTIL CALM ON-THE-GO COLLAR";"CEVA SALUD ANIMAL S.R.L.";"Propio";
"20-153";"KOLD";"INTERBIO PHARMA S.R.L.";"Propio";
"20-154";"VENTILAR VETEC";"VE TEC S A";"Propio";
"21-001";"DAPPER DOG SHAMPOO ESTETICO";"MOREYRA DARIO GUSTAVO";"Propio";
"21-002";"LINCOFARM TR";"CEVASA S. A.";"Propio";
"21-004";"ZIMPROVA";"INNOSUR";"Propio";
"21-005";"VETRIMOXIN LA";"CEVA SALUD ANIMAL S.R.L.";"Propio";
"21-007";"Nobivac Intra Trac Oral Bb";"INTERVET ARGENTINA SA";"Propio";
"21-008";"CARTAL FLEX";"LABORATORIOS RICHMOND DIVISION VETERINARIA SA";"Propio";
"21-009";"ULTRAFECT LPU";"O VE R  ORGANIZACION VETERINARIA REGIONAL SRL";"Propio";
"21-010";"FELIWAY FRIENDS ";"CEVA SALUD ANIMAL S.R.L.";"Propio";
"21-011";"IODO DOBLE PRO-SER";"PRO SER SA";"Propio";
"21-013";"PET´S CLASS - SHAMPOO DUO";"COSMIVET SRL";"Propio";
"21-014";"CICATRIZOL";"ESTABLECIMIENTO CALASTREME SA";"Propio";
"21-016";"PET´S CLASS - SHAMPOO FRUTILLA";"COSMIVET SRL";"Propio";
"21-017";"ZOOCLOSTRIVAC MAX";"INSTITUTO ZOOVAC S.A.";"Propio";
"21-017";"MGE MS NOVA";"TECNOFARM S. R. L.";"Extensión";
"21-017";"ALLIANCE SINTOXAN T";"BOEHRINGER INGELHEIM ANIMAL HEALTH ARGENTINA S. A.";"Extensión";
"21-018";"EPRINOVER POUR ON";"O VE R  ORGANIZACION VETERINARIA REGIONAL SRL";"Propio";
"21-019";"RAUCHER FUM";"LABCECIL S.R.L.";"Propio";
"21-020";"HYDRALURON TRIO";"BIOGENESIS BAGO S.A.";"Propio";
"21-021";"OVERCOL";"O VE R  ORGANIZACION VETERINARIA REGIONAL SRL";"Propio";
"21-024";"SINCROVER VERDE";"O VE R  ORGANIZACION VETERINARIA REGIONAL SRL";"Propio";
"21-025";"CIRCO MYCOGARD";"VETANCO S. A.";"Propio";
"21-026";"GIGOT MY LITTLE PET  PERFUME PARA MASCOTAS";"LABORATORIOS WARMIC SAIYC";"Propio";
"21-027";"PET´S CLASS - SHAMPOO TONALIZADOR PARA PELAJE BLANCO";"COSMIVET SRL";"Propio";
"21-028";"INMUNO ART";"BIOGENESIS BAGO S.A.";"Propio";
"21-029";"FARMACOX";"CEVASA S. A.";"Propio";
"21-030";"GEL LUBRICANTE PRO-SER";"PRO SER SA";"Propio";
"21-031";"ACA NO GEL";"BINKA SA";"Propio";
